조사지,반복,1수영화수_개화기,CVI_개화기,CVI_개화후2주,CVI_개화후4주,CVI_분얼전기,CVI_분얼후기,CVI_수확기,GNDVI_개화기,GNDVI_개화후2주,GNDVI_개화후4주,GNDVI_분얼전기,GNDVI_분얼후기,GNDVI_수확기,LAI_개화기,LAI_개화후2주,LAI_개화후4주,LAI_분얼전기,LAI_분얼후기,LAI_수확기,NDRE_개화기,NDRE_개화후2주,NDRE_개화후4주,NDRE_분얼전기,NDRE_분얼후기,NDRE_수확기,NDVI_개화기,NDVI_개화후2주,NDVI_개화후4주,NDVI_분얼전기,NDVI_분얼후기,NDVI_수확기,RVI_개화기,RVI_개화후2주,RVI_개화후4주,RVI_분얼전기,RVI_분얼후기,RVI_수확기,SPAD_개화기,SPAD_개화후2주,SPAD_개화후4주,SPAD_분얼전기,SPAD_분얼후기,SPAD_수확기,간장(cm)_개화기,간장(cm)_개화후2주,간장(cm)_개화후4주,간장(cm)_수확기,수량(g/(50*50)cm2)_수확기,수량(g/m2)_수확기,수장(cm)_개화기,수장(cm)_개화후2주,수장(cm)_개화후4주,수장(cm)_수확기,유수길이(mm)_분얼전기,일수립수_수확기,초장(cm)_분얼전기,초장(cm)_분얼후기,관개,시비,파종
Plot 7,7,39,0.04986613663541667,0.053392349609374994,0.06296187544791666,0.022718904078124998,0.025063121463541668,0.063119435078125,0.7453807729166666,0.7713921015104166,0.6939025685416667,0.3591043660416667,0.6400135078645833,0.53429680703125,2.43,2.47,1.07,0.32,0.57,0.91,0.44607118343749996,0.44970931875000003,0.289069974375,0.13611922325520834,0.35348107411458335,0.14866464202604165,0.79743180203125,0.83308382078125,0.6617415825520833,0.32970760547395833,0.7743537527604167,0.26745611203125,12.934407755729167,12.725658948958333,4.995013879166667,2.088769966666667,9.737154905729167,1.7369171135416668,45.8,45.2,40,34,42.5,19.6,67,59,60,61,99.71,398.84,7,7.5,8.5,9.5,0.3,25,13,47,1,1,1
Plot 7,8,39,0.04487755018134715,0.04960750848186529,0.0627609081865285,0.02173698854404145,0.025217793134715026,0.06086038343005182,0.7717647170466322,0.7779988131088084,0.7026354297927462,0.32474976005181344,0.6296558827461141,0.5344225443005182,2.33,2.67,0.94,0.17,0.53,1.32,0.4576323828497409,0.4454740331088083,0.3010348490673575,0.11284029243523316,0.34058931917098445,0.1492412382642487,0.8594824781865286,0.8559204310362695,0.6785652722279794,0.2797689924870466,0.7660281048704662,0.28843589922279794,14.487847620207253,13.314247674093263,5.310176088601036,1.8197284046632125,8.239962065803109,1.8256530196891192,47.2,48.5,36.5,34.3,40.8,6,64,58,57,64,96.61,386.44,8,8,8,8.5,0.35,37,14,47,1,1,1
Plot 7,9,40,0.04647934832642487,0.04607574252331606,0.06350673608808291,0.02274545225388601,0.025520044730569947,0.06051490416062177,0.7916092650259068,0.7821349351295336,0.7048590662694301,0.36271452445595853,0.6358909884974093,0.527147790880829,1.99,2.33,0.87,0.31,0.6,1.13,0.4748190131088083,0.4448132030051813,0.29794446497409327,0.13294155958549222,0.3473889397927461,0.13971075830569948,0.8803694825388602,0.8716861791709845,0.6806194461139896,0.3362508552849741,0.771775872642487,0.26969396010362695,16.501234666321242,14.874180134715026,5.343040410880829,2.105487270984456,8.412192333678757,1.7452048994818654,46.7,49.2,31.6,30.7,41.2,14.5,71,57,57,59,88.63,354.52,9,8.5,7.5,8,0.15,30,12,48,1,1,1
Plot 7,10,38,0.0442605717591623,0.044772344900523564,0.06405371738743455,0.022042224743455498,0.024321632534031412,0.06282156256020943,0.7824964169109947,0.7704591954450262,0.6897039847643979,0.3484762909947644,0.6484925289005236,0.536341042408377,2.17,2.21,0.62,0.29,0.5,1.07,0.46461399047120416,0.42948608769633506,0.2883717071204189,0.12275368643455496,0.35028612895287964,0.13966634828795813,0.8753475116230366,0.8614174791623037,0.64465609486911,0.3208499077486911,0.7983578417801046,0.27826804240837694,15.760904787434557,13.753198633507854,4.749403608376963,2.0266673738219896,9.454885955497382,1.7779590732984294,41.9,48.1,9.5,33.3,41,16.5,58,50,57.5,58,127.58,510.32,8,9,8,8.5,0.3,30,15,46,1,1,1
Plot 8,1,35,0.03763369246354167,0.03951411940625,0.059185002906250006,0.022510721598958332,0.023683278005208336,0.06182157670833334,0.7273704400000001,0.704600740625,0.6271346191145833,0.38764899531249997,0.6789717629166666,0.524628391875,2.59,2.37,0.61,0.07,1.35,1.14,0.38187323739583334,0.34215119062500005,0.1992553661458333,0.14869197219791666,0.3841995000520833,0.13730819819791668,0.8282426883333334,0.7875886303645833,0.5269124783333333,0.3897063695833333,0.8396551843229166,0.25387627041666666,10.825714570312499,8.605759208854167,3.234489836458333,2.4099618645833334,11.9039177015625,1.6856138677083334,37.5,34.5,0.2,37.2,31.1,9.4,70,54,61,59,76.6,306.4,8,8,9,7,0.4,30,12,47,1,0,1
Plot 8,2,29,0.038629682652849745,0.03868488770466321,0.055304154269430056,0.022094989533678756,0.023974051569948186,0.056501565699481865,0.6827194079792746,0.6585874631606218,0.5863181451295336,0.36023439056994816,0.6397566891709845,0.5069267980310881,2.63,2.47,0.43,0.08,1.27,1.23,0.332845125492228,0.2938823329533679,0.17279267165803108,0.13388910065284976,0.3437872750777202,0.1418107530310881,0.7567197315025906,0.7173552268393781,0.4549588003108809,0.3431170652849741,0.791227744715026,0.250956105388601,7.5329784124352335,6.254544101554404,2.6776772575129533,2.1456726113989637,8.984076931606218,1.6771234191709843,32.6,32.2,10.4,37,38.2,9.9,60,55,56,62,44.64,178.56,8,7.5,7,8,0.3,40,13,48,1,0,1
Plot 8,3,30,0.03913611240837696,0.03905066120418848,0.05475133527748691,0.022782848115183246,0.02395415870157068,0.054466829382198954,0.6741161235602094,0.6592103818848167,0.5821679934554974,0.3961113740837696,0.6325258668586388,0.5021935215183245,2.17,2.23,0.25,0.1,1.21,1.22,0.32384977612565446,0.2899584737696335,0.1680306184816754,0.15325829764921467,0.33625834424083767,0.13813226167015707,0.737809042303665,0.7153572369633507,0.4492066319371728,0.40092166214659686,0.780333747486911,0.25537995031413613,7.1648225465968585,6.271296148167539,2.6443652167539264,2.4435969214659687,8.677195572251309,1.6919772685863876,38.1,35.4,6.4,35.6,38,10.5,67,48,59,54,58.52,234.08,8,8,7,8.5,0.35,37,14,49,1,0,1
Plot 8,4,36,0.03914920212371134,0.03823806639690722,0.05159504396907216,0.024201599783505157,0.024575210829896905,0.055388928046391755,0.6690790039175257,0.653804053814433,0.5580331445360824,0.434624216185567,0.6167050832989691,0.5080898395360824,2.43,1.77,1.01,0.11,1.17,0.83,0.3219578494845361,0.29073210355670104,0.1482735868969072,0.18053247389690721,0.3214197430927835,0.14086923345360824,0.7316584963917526,0.712030265515464,0.4151368018556701,0.4517967368556701,0.7532305680412371,0.26286189783505154,6.745653048969072,6.098735440206186,2.425954105670103,2.8044421726804125,7.697654872164948,1.718997280927835,36.3,35.14,23.1,34.6,37.8,11,70,53,55,58,61.64,246.56,8,7,8,7,0.2,34,12,53,1,0,1
Plot 8,5,26,0.0409572531761658,0.038036677502590675,0.056721814243523315,0.024812247673575132,0.02540934144041451,0.0599151744507772,0.7323056008808291,0.6878283850777202,0.5860596088082901,0.4623203714507772,0.681544160984456,0.519652884404145,2.33,2.23,0.61,0.12,1.3,0.92,0.3824504779274611,0.3223712283937824,0.15753023430051813,0.19643562673575132,0.38019040829015543,0.13908773277202072,0.8207971579274612,0.7697061211398963,0.4437348246113989,0.4964548253367876,0.8318852675129534,0.25752682031088087,10.422874740932643,7.7933194419689125,2.5987880839378237,3.0933347010362695,11.274982027979274,1.6983612663212435,40.5,33,17.2,34.6,34.8,11,64,56,51,58,84.22,336.88,7,7.5,7,8,0.45,26,15,52,1,0,1
Plot 8,6,24,0.04135841069791667,0.03819647947916666,0.05974268811979166,0.024068744838541666,0.027115082869791664,0.06033433455729167,0.7428688669270834,0.7104279693229166,0.6188086739583333,0.41112264098958334,0.6871103358854166,0.522487114375,2.63,2.63,0.73,0.27,1.33,1.12,0.4013578794791666,0.35257392973958335,0.18428321786458335,0.16190783017708335,0.38957003552083336,0.14088441541666666,0.83360033125,0.8027601635937499,0.5027598352604167,0.4095958497916667,0.8282999233854166,0.25958123854166665,11.382403575,9.250648640104167,3.0285814239583337,2.4688881635416666,11.015263261979166,1.7047397687499999,37.4,35.5,28.9,37.6,40.7,10.2,70,67,67,59,84.05,336.2,8,8.5,9,8,0.4,40,16,47,1,0,1
Plot 8,7,34,0.037655845269430055,0.03788751794300518,0.05600178314507773,0.022784747870466318,0.025872789533678758,0.06161015434715027,0.7161794945595855,0.6883428372020726,0.6116983604145078,0.36685714352331605,0.6601500049740933,0.5323348688082902,3,2.53,0.61,0.19,1.31,1.04,0.36740818797927466,0.32254555632124354,0.18484971559585495,0.1396242938031088,0.36487205554404145,0.14437411044559587,0.8116153461139897,0.7712238685492229,0.5100362615025907,0.3425888360621762,0.8023456287046632,0.27291456699481864,10.015983596373058,7.88466039896373,3.086328038341969,2.166739558031088,9.637343742487046,1.7558846880829015,36.1,33.4,20.7,37.9,41.6,10.5,66,66,67,56,63.7,254.8,7,7.5,8.5,7.5,0.35,40,15,48,1,0,1
Plot 8,8,29,0.0389714657253886,0.03981275998445596,0.05806054246632125,0.022828014637305702,0.024618203528497407,0.05895158323834197,0.7021215916580311,0.7048422669430051,0.6202706456476683,0.3785547325388601,0.6614941497409327,0.5189078821243523,2.33,2.27,0.49,0.14,1.25,1.07,0.36355465046632124,0.3424935750777202,0.18905121564766839,0.1481101815388601,0.3693185916580311,0.14217188684974094,0.7790624178756477,0.785516075284974,0.5180190676165803,0.3657785224663212,0.8088864752331607,0.26092670357512954,9.64101126373057,8.595906236787565,3.1584602999999998,2.347014534715026,10.902510003108807,1.7107783113989636,38.7,31.3,8.4,38.9,43,9.4,68,64,51,56,67,268,8,7.5,8,7.5,0.4,24,17,50,1,0,1
Plot 8,9,34,0.03951387068393783,0.039502499943005184,0.0600606831865285,0.022585473393782383,0.025869748336787565,0.06389452838341969,0.7530807068393783,0.7243157639896373,0.6415400099481865,0.3791300887564767,0.6952174689637305,0.53932624626943,2.53,1.18,0.56,0.09,1.17,0.93,0.4119944332124353,0.36507232398963735,0.2046249803626943,0.1420167539119171,0.40311114450777197,0.1474050119533679,0.8529971753367875,0.8155529975129534,0.5555079412953368,0.37236261922279795,0.8436849576165804,0.2757651470984456,13.196402976683938,10.194626015544042,3.5103576668393783,2.324448805181347,12.578832986528496,1.76569062746114,36,35,14.4,40.2,39.7,11.9,69,56,52,60,124.75,499,9,7.5,7.5,8,0.4,32,18,43,1,0,1
Plot 8,10,33,0.038168410264248706,0.04039377728497409,0.05734749175647668,0.022680906212435237,0.02631430729015544,0.06223305226424871,0.7466234451813472,0.7191730988601037,0.6382546706217617,0.3435095247668394,0.6926597380829016,0.5354130414507772,2.73,1.07,0.94,0.1,1.15,0.82,0.4061302162176166,0.3542224520207254,0.20296868310880828,0.12272163518134716,0.39982899067357514,0.14180663051295336,0.8505122070984455,0.8050501019170985,0.5639404396373057,0.29955971186528496,0.8394472320725389,0.2773805662176166,12.704793522797928,9.478939461658031,3.5915187538860103,1.9294141756476684,11.823163638860104,1.7726832212435233,38.3,36.2,3.4,36.3,40.6,11.2,67,59,53,58,77.49,309.96,8,7.5,8.5,6.5,0.4,32,14,50,1,0,1
