조사지,반복,1수영화수_개화기,CVI_개화기,CVI_개화후2주,CVI_개화후4주,CVI_분얼전기,CVI_분얼후기,CVI_수확기,GNDVI_개화기,GNDVI_개화후2주,GNDVI_개화후4주,GNDVI_분얼전기,GNDVI_분얼후기,GNDVI_수확기,LAI_개화기,LAI_개화후2주,LAI_개화후4주,LAI_분얼전기,LAI_분얼후기,LAI_수확기,NDRE_개화기,NDRE_개화후2주,NDRE_개화후4주,NDRE_분얼전기,NDRE_분얼후기,NDRE_수확기,NDVI_개화기,NDVI_개화후2주,NDVI_개화후4주,NDVI_분얼전기,NDVI_분얼후기,NDVI_수확기,RVI_개화기,RVI_개화후2주,RVI_개화후4주,RVI_분얼전기,RVI_분얼후기,RVI_수확기,SPAD_개화기,SPAD_개화후2주,SPAD_개화후4주,SPAD_분얼전기,SPAD_분얼후기,SPAD_수확기,간장(cm)_개화기,간장(cm)_개화후2주,간장(cm)_개화후4주,간장(cm)_수확기,수량(g/(50*50)cm2)_수확기,수량(g/m2)_수확기,수장(cm)_개화기,수장(cm)_개화후2주,수장(cm)_개화후4주,수장(cm)_수확기,유수길이(mm)_분얼전기,일수립수_수확기,초장(cm)_분얼전기,초장(cm)_분얼후기,관개,시비,파종
Plot 3,1,23,0.06737992180729166,0.07191781627604167,0.05493363759375,0.028214370838541662,0.037196777229166665,0.05721072811979167,0.8667475756770834,0.8470317449999999,0.6729229139583333,0.5728371978125,0.8152974930208333,0.49878592447916664,3.22,3.39,1.14,0.41,1.61,0.64,0.6226053257812499,0.57334697671875,0.26395769927083335,0.2762591482291667,0.5721164001041666,0.12700797510416667,0.9337704586979166,0.9063517809375,0.6551784430208333,0.6545568227083333,0.9261322784895833,0.22262904140624998,29.29391430729167,20.482315932291666,4.8341551578125,4.9200131296875,26.204759541666665,1.5790107604166668,47.3,32.5,30.7,35.1,45.5,6.5,74,73,70,71,146.533,586.132,8,8,9,7.5,0.35,25,15,50,1,1,0
Plot 3,2,45,0.06383981834196892,0.07042051497409327,0.06474278939896373,0.026754956352331605,0.0338142861761658,0.06283299773056995,0.8697151234196892,0.8514114221243524,0.706976383523316,0.554976322746114,0.8074643542487047,0.519571943523316,3.11,3.73,1.3,0.42,1.25,0.48,0.6242692472020726,0.5816511693782384,0.3060921656476684,0.26684483088082905,0.5563780646632124,0.13990737617098445,0.9400908989119171,0.9135125039896373,0.6836855423834197,0.6372772387564767,0.9263948491191709,0.23358227445595856,32.557316331606216,22.26929215025907,5.379992412953368,4.81888509015544,26.47467710880829,1.6181502943005182,47.8,46.7,17.1,34.8,42.4,6.2,70,70,73,71,101.26899999999999,405.07599999999996,9,8,8,7.5,0.6,30,14,53,1,1,0
Plot 3,3,42,0.06455857622631579,0.06806555562105263,0.05817915298421053,0.026884291400000003,0.03406591335263158,0.060819044405263166,0.8683989873684211,0.8430943057894736,0.6814660503157896,0.5747592637894737,0.8127511465789473,0.5100321019473685,2.23,3.91,1.42,0.47,1.22,1.21,0.6217759942631579,0.5629003762105262,0.27481507636842106,0.281507469,0.56050369,0.13352735008421052,0.9380704350526315,0.9064311746842106,0.657394134,0.6692623084210526,0.9300702240526316,0.225394719,31.448725163157896,20.49902932105263,4.890521868421053,5.368378825789473,27.846311263157894,1.589340030526316,50.7,46.8,34,30.1,45.8,6,69,70,72,68,179.607,718.428,7.5,8,7.5,8,0.2,31,17,52,1,1,0
Plot 3,4,34,0.06311915425906736,0.06492860686010364,0.0562057030880829,0.026749558518134715,0.03355650916062176,0.06299041436787566,0.8596229375129533,0.8306613458549224,0.6687423386528498,0.5048274048704663,0.7815541351813472,0.5175891007772021,1.43,3.57,1.18,0.39,1.31,1.14,0.6032545510880829,0.5391068280829016,0.261997552746114,0.2314905423834197,0.5176120720207255,0.13455886131088082,0.9308267010880829,0.8947942510362694,0.6396188732124353,0.5470728763212436,0.9041212409326425,0.2262794232642487,28.024904424870464,18.240803374093264,4.5813015782383415,3.771086588082902,20.15943041450777,1.5941219839378238,49.2,42.6,18.3,36.8,41.7,4.8,69,72,65,69,64.1355,256.542,9,9,8,7,0.45,33,14,50,1,1,0
Plot 3,5,40,0.055300739427083336,0.05567501676041666,0.059243289510416665,0.02533653715625,0.028464520328125,0.06169451833854168,0.8187500169791666,0.81253376171875,0.7158150885937501,0.4422015645833333,0.6932266152604166,0.5232362089583333,1.78,3.1,1.2,0.41,1.67,1.11,0.5331610588020833,0.50533645140625,0.32307466,0.1954912941197917,0.40222668843750004,0.13930888240104167,0.8956252153645834,0.8894152658333333,0.7222540491666667,0.45269763031250004,0.8278103591145833,0.25210712234375,19.371419223958334,17.503415309895832,6.267356930729167,2.8040149864583337,11.8864898390625,1.6830744619791667,48.7,52.1,40.4,36.2,48.9,5.6,76,72,62,69,18.0665,72.266,7,8.5,7.5,6.5,0.6,33,13,51,1,1,0
Plot 3,6,39,0.05748110861458334,0.05462717775520833,0.05638085421354167,0.025012168296874998,0.03283944625,0.06009316652083334,0.7914177348958332,0.7797196414583333,0.6612796994791666,0.4407150559895833,0.68181740078125,0.5201352008333333,4.37,4.77,2.16,0.66,2.27,0.93,0.49699437640625005,0.46320486807291666,0.25666289828125,0.18475498520833333,0.40388867999999994,0.13940938308854167,0.8546154836979167,0.8456748788541666,0.6213756596875,0.4515370999479167,0.7861399547395833,0.25756405515624997,13.263318807291666,12.076095369791666,4.300238982291667,2.8511861265625,9.103625801041668,1.7009649651041665,47.9,50.9,4.1,37.9,46.6,5.8,79,65,68,65,165.278,661.112,9,7.5,8.5,8,0.45,28,21,56,1,1,0
Plot 3,7,26,0.053191836901041664,0.05381418539583334,0.05828382161979166,0.023606654421874998,0.028551169213541668,0.06308706057291666,0.7480265286979167,0.7572959354166667,0.6682388554687501,0.37395882822916665,0.6361612963541666,0.5421601130729167,3.77,4.37,1.78,0.67,2.21,0.97,0.43626187161458335,0.42320821619791665,0.26611542796875,0.14114259639583335,0.35429976265625,0.15729019572395833,0.8005429138020833,0.8136513878645834,0.62666961953125,0.34415428541666665,0.7506978928125,0.29060167859375,9.366688169270834,9.94989354375,4.3940244999999996,2.1003003875,7.334967108854166,1.82792980625,47.7,42,34,35.3,50.5,6.3,87,57,70,71,82.179,328.716,9,8,7,7,0.6,29,18,57,1,1,0
Plot 3,8,47,0.054403781371727744,0.05310751161780105,0.059120475230366495,0.024725353989528794,0.031075111078534032,0.05795634408376963,0.7644735281675392,0.7658648875392671,0.6707637773821991,0.41043515246073303,0.6567528528795811,0.5126809621989529,4.43,3.79,1.17,0.86,2.3,1.04,0.45822803136125656,0.43599924591623035,0.25506057696335077,0.16147535105759162,0.37975063020942407,0.13200073815183247,0.8232577065445026,0.8298081345026178,0.6275538453403141,0.3975258570680628,0.7638464595287958,0.2512876578010471,10.817981975916231,10.922222439790577,4.395292864397906,2.430067664921466,7.886457914659686,1.6775296261780104,47.4,47.1,29.7,37.9,48.1,6,78,66,73,66,71.99,287.96,9,7,9,7.5,0.5,29,17,59,1,1,0
Plot 3,9,34,0.05205332638341969,0.051999705766839384,0.058409568528497414,0.0242301175492228,0.02937928733160622,0.060433825746113994,0.7717542959585493,0.7709273806217616,0.6798517066321245,0.40692478248704667,0.6881480315025906,0.5157432676165803,3.89,3.93,2.76,1.2,2.17,1.07,0.45774359621761657,0.43842570310880824,0.2722771289637306,0.15816618345077718,0.40447512730569946,0.13170824833160621,0.8410994357512953,0.8403341727979274,0.6514875595336788,0.4003400756994819,0.8170604933160622,0.2402764376683938,11.924350966321244,11.62025346373057,4.772619553886011,2.3897397238341966,10.339963502590674,1.6364869569948188,46,49.8,23.6,35.6,47.4,6.8,77,67,75,65,91.48249999999999,365.92999999999995,9,7.5,8.5,7,0.5,30,20,60,1,1,0
Plot 3,10,40,0.05970584861780104,0.05924023921465969,0.06419342815706806,0.025562153109947645,0.03442280032460733,0.05871315469109948,0.824023159842932,0.8070336846073298,0.6930822638219896,0.444831525078534,0.7412377745549739,0.5101748567015707,4.23,4.13,2.61,0.6,2.15,1.12,0.5433364091623036,0.49517461931937173,0.2873761919371728,0.18244506369633506,0.4745664608376964,0.1291806047172775,0.8945719280104711,0.8740351937172774,0.6537161215183246,0.45274442387434555,0.8576051154973823,0.24041971905759163,18.331007518324608,14.957682447643977,4.794025297905759,2.7273386010471206,13.525204636125656,1.637223244502618,49.6,44.6,33.4,28.4,47.3,4.5,79,65,65,70,103.109,412.436,9,7.5,8,7.5,0.5,31,17,61,1,1,0
