NDVI,EVI,name,imageId
0.3941,0.2348,jinju,2002_06_26
0.7042,0.4572,jeonju,2002_07_12
0.6985,0.5235000000000001,naju,2002_07_12
0.6444000000000001,0.44780000000000003,daegu,2002_07_12
0.5279,0.32680000000000003,suwon,2002_07_12
0.5275000000000001,0.3638,miryang,2002_07_12
0.5998,0.39590000000000003,jinju,2002_07_12
0.48410000000000003,0.49860000000000004,jeonju,2002_07_28
0.7507,0.5874,naju,2002_07_28
0.7665000000000001,0.4869,daegu,2002_07_28
0.6757000000000001,0.5913,suwon,2002_07_28
0.6452,0.5249,miryang,2002_07_28
0.6452,0.4862,jinju,2002_07_28
0.49400000000000005,0.4208,jeonju,2002_08_13
0.5513,0.5881000000000001,naju,2002_08_13
0.5035000000000001,0.3532,daegu,2002_08_13
0.677,0.5278,suwon,2002_08_13
0.4303,0.3766,miryang,2002_08_13
0.7473000000000001,0.5411,jinju,2002_08_13
0.6841,0.5205000000000001,jeonju,2002_08_29
0.7441,0.5548000000000001,naju,2002_08_29
0.7302000000000001,0.45330000000000004,daegu,2002_08_29
0.6471,0.4645,suwon,2002_08_29
0.6402,0.445,miryang,2002_08_29
0.6721,0.49520000000000003,jinju,2002_08_29
0.6973,0.4827,jeonju,2002_09_14
0.5604,0.38070000000000004,naju,2002_09_14
0.632,0.36360000000000003,daegu,2002_09_14
0.6693,0.4534,suwon,2002_09_14
0.6015,0.4431,miryang,2002_09_14
0.5929,0.4002,jinju,2002_09_14
0.5922000000000001,0.38780000000000003,jeonju,2002_09_30
0.43270000000000003,0.27840000000000004,naju,2002_09_30
0.5699000000000001,0.3417,daegu,2002_09_30
0.4319,0.2969,suwon,2002_09_30
0.45580000000000004,0.2761,miryang,2002_09_30
0.4374,0.28400000000000003,jinju,2002_09_30
0.5486,0.34390000000000004,jeonju,2002_10_16
0.4062,0.25020000000000003,naju,2002_10_16
0.43310000000000004,0.25020000000000003,daegu,2002_10_16
0.2529,0.1388,suwon,2002_10_16
0.42460000000000003,0.27040000000000003,miryang,2002_10_16
0.3093,0.1716,jinju,2002_10_16
0.44720000000000004,0.25320000000000004,jeonju,2002_11_01
0.3821,0.2218,naju,2002_11_01
0.3584,0.1879,daegu,2002_11_01
0.2487,0.1426,suwon,2002_11_01
0.3048,0.2122,miryang,2002_11_01
0.26030000000000003,0.1481,jinju,2002_11_01
0.40990000000000004,0.2179,jeonju,2002_11_17
0.4186,0.2634,naju,2002_11_17
0.2591,0.14600000000000002,daegu,2002_11_17
0.22130000000000002,0.1312,suwon,2002_11_17
0.2172,0.1396,miryang,2002_11_17
0.2427,0.14800000000000002,jinju,2002_11_17
0.27090000000000003,0.1423,jeonju,2002_12_03
0.2964,0.15030000000000002,naju,2002_12_03
0.3703,0.18860000000000002,daegu,2002_12_03
0.1859,0.1028,suwon,2002_12_03
0.23370000000000002,0.1268,miryang,2002_12_03
0.3305,0.1988,jinju,2002_12_03
0.28040000000000004,0.1524,jeonju,2002_12_19
0.27990000000000004,0.1426,naju,2002_12_19
0.2414,0.1348,daegu,2002_12_19
0.1758,0.0947,suwon,2002_12_19
0.2238,0.1223,miryang,2002_12_19
0.23240000000000002,0.1386,jinju,2002_12_19
0.2728,0.1446,jeonju,2003_01_01
0.2489,0.1312,naju,2003_01_01
0.28800000000000003,0.1447,daegu,2003_01_01
0.1812,0.0975,suwon,2003_01_01
0.2094,0.1087,miryang,2003_01_01
0.2318,0.13520000000000001,jinju,2003_01_01
0.26630000000000004,0.13290000000000002,jeonju,2003_01_17
0.2636,0.14830000000000002,naju,2003_01_17
0.2359,0.1623,daegu,2003_01_17
0.11120000000000001,0.0766,suwon,2003_01_17
