Feature ID,240607_NDVI,240607_NDRE,240607_GNDVI,240607_RVI,240607_CVI,240607_NGRDI,240607_GLI,240607_VARI,240607_BI,240607_CI,240607_RI,240607_CIRE,240607_GI,240607_TVI,240607_CIG
60,0.26232252,0.13279964,0.5277196,1.7112119,6.1148205,-0.3080399,-0.104373075,-0.38467345,0.094495095,0.3080399,57.184002,0.30627215,1.8903401,5.585972,-0.69085926
60,0.2566105,0.13007045,0.5138649,1.6903797,5.7368817,-0.29632923,-0.08936267,-0.36747697,0.10110339,0.29632923,49.754578,0.29903674,1.8422383,5.768202,-0.67887807
60,0.24238864,0.12364,0.52975714,1.6398759,6.453416,-0.329705,-0.12563138,-0.41113508,0.103358105,0.329705,59.810337,0.2821672,1.983761,5.9298964,-0.692603
60,0.28103438,0.14271627,0.5736772,1.7817742,7.6471834,-0.34889227,-0.15265746,-0.44234636,0.08882849,0.34889227,78.593575,0.33294988,2.0716882,5.8786936,-0.7290913
60,0.29006922,0.10183601,0.5528943,1.8171761,6.6384473,-0.3130278,-0.108547345,-0.39019027,0.092013925,0.3130278,60.55852,0.2267648,1.9113259,5.967827,-0.7120824
60,0.25635132,0.10268888,0.49811,1.689442,5.27384,-0.27714798,-0.074028,-0.3463729,0.119832836,0.27714798,37.396255,0.22888136,1.766818,6.6276894,-0.6649845
60,0.22336496,0.11145371,0.50415397,1.5752122,5.8418703,-0.31642136,-0.103075795,-0.38705203,0.13516735,0.31642136,42.09913,0.2508675,1.925779,7.165495,-0.6703489
60,0.21575339,0.11819615,0.5198774,1.5502182,6.464277,-0.34254572,-0.13161606,-0.42054644,0.12913384,0.34254572,51.917484,0.2680781,2.0420368,6.9574823,-0.6841043
60,0.20655453,0.11943966,0.4842526,1.520652,5.4464273,-0.30856186,-0.11870746,-0.39733762,0.1223384,0.30856186,44.311302,0.271281,1.892522,6.0714474,-0.6525205
60,0.2551452,0.11122959,0.4898012,1.6850871,5.0600576,-0.26816925,-0.064042754,-0.33433267,0.11211369,0.26816925,37.891685,0.25029993,1.7328722,6.0863876,-0.657539
60,0.28985643,0.14591508,0.5337762,1.8163319,5.958539,-0.28856626,-0.09323916,-0.36688027,0.102012224,0.28856626,47.0464,0.34168756,1.8112246,6.3866463,-0.69602877
60,0.3021719,0.16350627,0.5620437,1.8660353,6.817184,-0.31303594,-0.11659221,-0.39714143,0.08600184,0.31303594,64.7952,0.39093244,1.9113604,5.788575,-0.71962607
60,0.32094824,0.14393319,0.5644108,1.9452835,6.6307774,-0.2973213,-0.0901083,-0.36851612,0.08116667,0.2973213,62.35069,0.33626628,1.8462511,5.666939,-0.7215634
60,0.3059849,0.14793535,0.5635574,1.8817818,6.82031,-0.31124327,-0.097352654,-0.38035497,0.08738706,0.31124327,63.066673,0.34723973,1.903783,5.936574,-0.7208656
60,0.32528305,0.15608938,0.5747905,1.964206,6.9831676,-0.30688566,-0.09097962,-0.37352774,0.08126359,0.30688566,66.02504,0.36991918,1.8855268,5.8230867,-0.72998977
60,0.30733937,0.14003603,0.52554077,1.8874168,5.4774942,-0.26023424,-0.046116825,-0.31781563,0.08993619,0.26023424,45.072792,0.32567883,1.7035584,5.7055445,-0.6889894
60,0.25103185,0.12982546,0.5194188,1.6703405,5.9843416,-0.30862933,-0.10495241,-0.3853988,0.107820354,0.30862933,50.29869,0.29838943,1.8928041,6.1587915,-0.68370724
60,0.24392425,0.13101691,0.51056135,1.6452376,5.78964,-0.30456737,-0.101766,-0.38105592,0.10748279,0.30456737,49.21433,0.30154073,1.8759077,5.967206,-0.6759889
60,0.23978627,0.11874111,0.5077297,1.6308391,5.7521305,-0.3050868,-0.10122051,-0.38083106,0.10588393,0.3050868,50.11671,0.2694807,1.8780571,5.8070297,-0.6735023
60,0.2506208,0.12624523,0.513924,1.6688759,5.8126698,-0.30223042,-0.099123545,-0.3778852,0.1047241,0.30223042,49.793617,0.28897178,1.8662758,5.9164696,-0.6789297
